source,smiles
D06034_protomer_2,CC1(C)OC(C)(C)C(C=NCCN=CC2=C([O-])C(C)(C)OC2(C)C)=C1[O-]
D06034_protomer_1,CC1(C)OC(C)(C)C(C=NCCN=CC2=C(O)C(C)(C)OC2(C)C)=C1O
C08859_protomer_1,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O
D03088_protomer_1,CC[N+]1(CC)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
D07509_protomer_2,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
D07509_protomer_1,COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC2CCC[NH+](Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
D02198_protomer_2,COC1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)COC21
D03812_protomer_1,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO
D02344_protomer_1,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1
D02344_protomer_2,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1
D08052_protomer_1,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
D04641_protomer_1,CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
D00687_protomer_3,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
D00687_protomer_1,[O-]c1ccc(C(O)C[NH2+]CCCCCCOCCCCc2ccccc2)cc1CO
D00687_protomer_2,OCc1cc(C(O)C[NH2+]CCCCCCOCCCCc2ccccc2)ccc1O
D01599_protomer_1,Cc1ccc(S(=O)(=O)[N-]C(=O)[N-]N2CC3CCCC3C2)cc1
D01599_protomer_2,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
D00419_protomer_1,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC
D07818_protomer_2,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
D07818_protomer_1,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
D00578_protomer_1,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F
D03492_protomer_2,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1
D03492_protomer_1,c1ccc(C2(c3ccccc3)CC2C2=[NH+]CCN2)cc1
D02567_protomer_1,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
D02567_protomer_2,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
D00884_protomer_1,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C([NH3+])C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)[O-]
D00884_protomer_2,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O
D00378_protomer_2,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
D00378_protomer_1,CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1
D01316_protomer_1,CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)C[NH+]12
D01316_protomer_2,CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12
D00834_protomer_1,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1
